target,clean_pier,maximum_pier,condition_of_maximum,honest_convexity_gain,exact_sibling_removal_inflation,broad_lineage_removal_inflation,random_removal_percentile,vector_tv,top1_surrogate_agreement,split_stability,generation_score_agreement
Qwen/Qwen2.5-7B-Instruct,0.14701374079073876,0.17975060947126573,irrelevant_context:512.0,0.934932277165049,0.06358153791833791,0.06358153791833791,1.0,0.325278787936045,0.6947857142857143,0.013074136189548103,0.8547619047619047
TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.13291768860720266,0.15665643739921065,irrelevant_context:64.0,1.0479099757063828,0.0519036089681992,0.0519036089681992,1.0,0.28139749902219935,0.6951071428571429,0.00901944019459035,0.15
microsoft/phi-4,0.21488752073848097,0.26440575903031954,irrelevant_context:512.0,1.0822910873848903,0.0006779334912658377,0.0006779334912658377,0.5835,0.4255003393224627,0.6443928571428572,0.01720606797456066,0.3976190476190476
microsoft/Phi-4-reasoning-plus,0.14501007935769356,0.16738269985698884,irrelevant_context:512.0,1.240904964052032,0.005212127610246744,0.005212127610246744,0.7875,0.3352689144977881,0.5883571428571429,0.007242742099930829,0.2571428571428571
mistralai/Mistral-Nemo-Instruct-2407,0.17258868336715272,0.18524195897992424,content_deletion:0.0,1.2002101871546604,,,,0.34163907676012534,0.5587500000000001,0.00744276650062185,0.7214285714285714
allenai/OLMo-2-1124-13B-Instruct,0.20749815783256084,0.2177890547210651,content_deletion:0.0,0.9793003466820357,,,,0.4252899039876666,0.4548214285714286,0.007554092322810175,0.7595238095238095
ibm-granite/granite-3.3-8b-instruct,0.21440973498840923,0.22819346547533287,content_deletion:0.0,1.0381013347760675,,,,0.44497791615664084,0.5400357142857143,0.005287270379606966,0.6738095238095239
google/gemma-3-12b-it,0.2524390345810647,0.2664428858493154,irrelevant_context:256.0,1.0593467199080937,,,,0.4991866300700692,0.5448571428571428,0.01404615927901276,0.9261904761904762
