relative_path	original_path	source_stage	size_bytes	sha256	paper_role	paper_package_path
data/frozen/vision/artifacts/exp12/exp12_shape_bias_ResNet50_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_shape_bias_ResNet50_residuals.npz	vision	3498	0d4fad8a8856715a533f1c69dbf53700b2a8d55a5fe2aed8eacd02c45169d843	frozen_evidence	data/original/artifacts/exp12/exp12_shape_bias_ResNet50_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SININ_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SININ_residuals.npz	vision	3484	039c359cfd903e4a802a5aeddc10433f30cc3803743958130003d2cb3fec4539	frozen_evidence	data/original/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SININ_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SIN_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SIN_residuals.npz	vision	3484	2bc5d07524355065d9750eca92c4ef24eb8af9270d4ac917b5951afc4ce32f96	frozen_evidence	data/original/artifacts/exp12/exp12_shape_bias_ShapeResNet50_SIN_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz	vision	3483	f927b1f40c8544e35df2c9829022170c465efdcba75f102a6977c9c58e592d7c	frozen_evidence	data/original/artifacts/exp12/exp12_shape_bias_ShapeResNet50_ShapeResNet_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_shape_bias_ViT_B16_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_shape_bias_ViT_B16_residuals.npz	vision	3512	92f2986f11020b5eb20ad01a60812ba07d9551e5828bfecb568e2641e91d530b	frozen_evidence	data/original/artifacts/exp12/exp12_shape_bias_ViT_B16_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ConvNeXtTiny_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ConvNeXtTiny_residuals.npz	vision	3528	1de5f1d543000665acaccc5fa2e879b1748560df6621fd6ff54770f24bebd653	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ConvNeXtTiny_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_EfficientNetB0_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_EfficientNetB0_residuals.npz	vision	3492	6b947effe1c5ab206304165348ce058e71108053cf5d338f2bca305dd8983a41	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_EfficientNetB0_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ResNet50_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ResNet50_residuals.npz	vision	3487	f622d2f71b566cd6302807f2c27a1bd4ecd7665d6b2b3a80cfa4f98047b08e93	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ResNet50_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SININ_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SININ_residuals.npz	vision	3530	3be1bca81725e3711a0afd46d686d1afa634a54c33edb21f9d15521c9c7072c3	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SININ_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SIN_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SIN_residuals.npz	vision	3506	960a1da22e344f4336ce4732424a7f8ebfcc988de1175eda6663b04c9cb52bc0	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ShapeResNet50_SIN_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ShapeResNet50_ShapeResNet_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ShapeResNet50_ShapeResNet_residuals.npz	vision	3491	479cbf8ef87c97a15a74246aba068fcf56436ab4a4b7b4f3301d40c01853448e	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ShapeResNet50_ShapeResNet_residuals.npz
data/frozen/vision/artifacts/exp12/exp12_texture_natural_ViT_B16_residuals.npz	artifacts(1).zip!/artifacts/exp12/exp12_texture_natural_ViT_B16_residuals.npz	vision	3528	34307fbb2d7aa47f292c3a71c3c22c2b26ab52de85968ae55e88cd887d9291e9	frozen_evidence	data/original/artifacts/exp12/exp12_texture_natural_ViT_B16_residuals.npz
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_shape_bias.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_shape_bias.npz	vision	7902	abcc6b0c16b8ece1e023564f9ba03551819b3588377157622e9fb66ea21ae9e0	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_shape_bias.npz
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_texture_natural.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_texture_natural.npz	vision	9485	14a80e22fdc778a55aa8d14370701a83b16f6e897bef35b9115dd43f01fd11ea	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_SININ_texture_natural.npz
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_shape_bias.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_shape_bias.npz	vision	7897	118facb9febd47123c6efdb3615c996ca779476f3ae483f0a5a0d700047f835e	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_shape_bias.npz
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_texture_natural.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_texture_natural.npz	vision	9482	936bce6153ecdceb4d3135ce6dce444d840dd16ab4a45e5312c913933a763616	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_SIN_texture_natural.npz
data/frozen/vision/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_shape_bias.npz	artifacts(1).zip!/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_shape_bias.npz	vision	7895	9e2957ad037165b338e14b164f4f58c0f0aacbfcbb2483c4383f7612642bf12f	frozen_evidence	data/original/artifacts/exp13/exp13_geometry_ShapeResNet50_ShapeResNet_shape_bias.npz
