target,removed_sibling,family,all_peer_trackwise_pier,sibling_removed_trackwise_pier,inflation,bootstrap_lower,bootstrap_upper,positive_split_count,stability_label,largest_non_sibling_inflation,median_non_sibling_inflation,sibling_rank,sibling_percentile,splits_sibling_largest,calibrated_inflation,vector_space_support,vector_support_fraction
Qwen/Qwen2.5-7B-Instruct,TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.15113891105867588,0.22236727022071773,0.07122835916204187,0.065320964454702,0.0759171040360464,10,stable,0.0009721357355753108,-0.00014547456695837845,1.0,1.0,10,0.033433916796410654,10/10 splits,1.0
Qwen/Qwen2.5-7B-Instruct,TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.17036741395707067,0.2311548715324636,0.060787457575392924,0.0541019420823489,0.0662371447039443,10,stable,0.0017250330320435798,-0.00010479291666591617,1.0,1.0,10,0.028637076603322247,10/10 splits,1.0
TIGER-Lab/General-Reasoner-Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,content_deletion,0.13679222457064005,0.19590259834803503,0.05911037377739501,0.0549606548351672,0.0630038521790623,10,stable,0.001309207031888189,0.00013651576024358223,1.0,1.0,10,0.03413239002006137,10/10 splits,1.0
TIGER-Lab/General-Reasoner-Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.1451055508701532,0.19120836902844346,0.04610281815829028,0.0419489014095727,0.0505137259302145,10,stable,0.0012033227534173074,0.00024740395615792664,1.0,1.0,10,0.027943722162932165,10/10 splits,1.0
microsoft/Phi-4-reasoning-plus,microsoft/phi-4,content_deletion,0.148220814736754,0.1564159727547601,0.008195158018006132,0.0058020828340918,0.0104119956633716,10,stable,0.009387483285879513,0.001423583656395233,1.5,0.9166666666666667,5,0.022070106082427154,10/10 splits,1.0
microsoft/Phi-4-reasoning-plus,microsoft/phi-4,irrelevant_context,0.15734829502249584,0.16062008920317547,0.0032717941806796437,0.0013979364812044,0.0048888228880307,10,stable,0.009178219561146662,0.0024528486189381304,3.4,0.6,0,0.010318898355911658,10/10 splits,1.0
microsoft/phi-4,microsoft/Phi-4-reasoning-plus,content_deletion,0.22141514372761578,0.22832750753350725,0.006912363805891444,0.0039086451421586,0.0106259391447759,10,stable,0.0047147463250154925,3.416342527300109e-05,1.2,0.9666666666666668,8,0.02168076743324495,9/10 splits,0.9
microsoft/phi-4,microsoft/Phi-4-reasoning-plus,irrelevant_context,0.24493365849462595,0.24053550400681806,-0.0043981544878079395,-0.0071532118706919,-0.0011475179133388,2,exploratory,0.006940508091725581,0.0006286423767980526,6.5,0.08333333333333333,0,0.009116825829776182,8/10 splits,0.8
