target,family,dose,trackwise_pier,track_mean_response_pier,cancellation_gap,relative_hidden_fraction,between_track_std,between_track_range,endpoint_sign_changed_from_v21
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.0,0.146596353007726,0.146596353007726,0.0,0.0,0.0,0.0,True
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.1,0.1498644244067589,0.13862235308627993,0.011242071320478978,0.07518226236618983,0.0032942268498708143,0.007587390566567184,True
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.2,0.1549773844994476,0.14000126678251515,0.014976117716932465,0.0966764885865479,0.0031288999668800848,0.007436895545632582,True
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.3,0.15519901076761705,0.1381862377081769,0.017012773059440163,0.10969235705126221,0.005115201033337534,0.011937228176036523,True
Qwen/Qwen2.5-7B-Instruct,content_deletion,0.4,0.14905738261182983,0.12745529843526057,0.021602084176569232,0.1450876364732468,0.0037293249605471262,0.00870439623686232,True
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,0.0,0.14964096828788823,0.14964096828788823,0.0,0.0,0.0,0.0,False
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,64.0,0.17713944503231246,0.1572728108174328,0.01986663421487966,0.11248657630032848,0.003223142555341928,0.007328438939410637,False
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,128.0,0.17513130749806877,0.15855952816794808,0.0165717793301207,0.09468974441705606,0.003907020712133264,0.00905133742234912,False
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,256.0,0.17107439227761662,0.16044388314894237,0.010630509128674229,0.062237586713350265,0.0036083565762277136,0.008409496656877758,False
Qwen/Qwen2.5-7B-Instruct,irrelevant_context,512.0,0.17885095668946735,0.167406634612924,0.011444322076543376,0.06396429281076495,0.0031222413381335017,0.007120078630599658,False
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.0,0.13243070119933495,0.13243070119933495,0.0,0.0,0.0,0.0,True
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.1,0.1371899741904382,0.12888786491755438,0.008302109272883837,0.060659928950728734,0.004877374329307576,0.01088649379553888,True
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.2,0.13998751664748751,0.12818490202744354,0.011802614620043993,0.08475716089625854,0.004105531211816433,0.009648364293574428,True
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.3,0.13846029583690642,0.12410606742462922,0.014354228412277209,0.10390808992714481,0.003677507763241391,0.008434381893221512,True
TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,0.4,0.13589263497903306,0.12108709248689528,0.01480554249213778,0.10902978202300553,0.004049246060417042,0.009268851047551003,True
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,0.0,0.13669159230080394,0.13669159230080394,0.0,0.0,0.0,0.0,False
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,64.0,0.1505918620524795,0.14062246733665268,0.009969394715826849,0.0663824907231176,0.002694371578071438,0.00637933078678842,False
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,128.0,0.14859974756412214,0.13866859847441448,0.009931149089707653,0.06701953956722193,0.002406203609566788,0.005694324260772437,False
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,256.0,0.14267845702787457,0.13518194863237493,0.0074965083954996155,0.05253202484521374,0.0035999321181054734,0.008473838159248523,False
TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,512.0,0.1469660954054859,0.1408748232769252,0.006091272128560712,0.04152356834721268,0.0029973937722731613,0.006976116993286896,False
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.0,0.2075870783783839,0.2075870783783839,0.0,0.0,0.0,0.0,False
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.1,0.20200760492754188,0.19182830883314,0.010179296094401862,0.050408827781375586,0.004179947004630589,0.009821213361921701,False
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.2,0.19871407376447128,0.18531367296984141,0.013400400794629886,0.06745410284098614,0.003598115177646198,0.008444569947000491,False
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.3,0.1906054894379439,0.17649773764984222,0.014107751788101659,0.07409793610780083,0.0053729278725719925,0.012577654792194307,False
allenai/OLMo-2-1124-13B-Instruct,content_deletion,0.4,0.1832210785310393,0.17007904188743445,0.013142036643604856,0.07181707994261735,0.00401527048094002,0.00944543359544916,False
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,0.0,0.20762629439971264,0.20762629439971264,0.0,0.0,0.0,0.0,False
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,64.0,0.20213688214915732,0.19627589363061176,0.0058609885185455955,0.029067085217576717,0.00443990151876991,0.010251663906166181,False
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,128.0,0.20180345303700595,0.19735629260178816,0.004447160435217798,0.022095019046811586,0.003746087218298945,0.008665774281550898,False
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,256.0,0.194930820090247,0.18827800885989474,0.0066528112303522735,0.034243275185496254,0.0031631619970134152,0.007480131402849916,False
allenai/OLMo-2-1124-13B-Instruct,irrelevant_context,512.0,0.19261361298828744,0.18686240721558528,0.005751205772702134,0.02998897930668416,0.0042595158474784305,0.010042176654816482,False
google/gemma-3-12b-it,content_deletion,0.0,0.25097913268779387,0.25097913268779387,0.0,0.0,0.0,0.0,True
google/gemma-3-12b-it,content_deletion,0.1,0.26045965406141447,0.228965804997165,0.03149384906424948,0.12070757792222742,0.006485303248056887,0.015296374251591919,True
google/gemma-3-12b-it,content_deletion,0.2,0.25708140083886377,0.22101170669074072,0.03606969414812307,0.14009248134245683,0.0065286392704965055,0.015438636578377426,True
google/gemma-3-12b-it,content_deletion,0.3,0.2549099649856836,0.21556924469076094,0.03934072029492267,0.15426089477146915,0.009309868668851959,0.021292533898093505,True
google/gemma-3-12b-it,content_deletion,0.4,0.25157594775155584,0.21181692539543837,0.03975902235611748,0.15786825434868784,0.00578696261689161,0.01327546997249138,True
google/gemma-3-12b-it,irrelevant_context,0.0,0.25367641444310796,0.25367641444310796,0.0,0.0,0.0,0.0,True
google/gemma-3-12b-it,irrelevant_context,64.0,0.26230020011059957,0.24009525240592736,0.0222049477046722,0.08454458558722998,0.00480369115171767,0.011113584896278278,True
google/gemma-3-12b-it,irrelevant_context,128.0,0.26874083352123834,0.24775394192100092,0.020986891600237444,0.07809342505733793,0.007726878795171271,0.01815516509564704,True
google/gemma-3-12b-it,irrelevant_context,256.0,0.2710855221988101,0.2547757956822941,0.01630972651651608,0.06012611322618298,0.004340913202363803,0.009759393122580156,True
google/gemma-3-12b-it,irrelevant_context,512.0,0.26961545665223624,0.2536928250988083,0.015922631553427925,0.05898106880387941,0.0029932247446182547,0.007093958658693328,True
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.0,0.21461902978312378,0.21461902978312378,0.0,0.0,0.0,0.0,False
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.1,0.2184071838374771,0.2016239131041584,0.01678327073331872,0.07687927779909683,0.003234952996067102,0.007217049109671409,False
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.2,0.20965968102544558,0.19136497225169372,0.018294708773751896,0.08734952424506415,0.0034663475037121695,0.008081337706896008,False
ibm-granite/granite-3.3-8b-instruct,content_deletion,0.3,0.20574881528765662,0.185409664219303,0.020339151068353635,0.09905902411516468,0.004624035286203391,0.010507981201712296,False
