analysis_type,target,family,metric,bootstrap_mean,bootstrap_median,bootstrap_lower,bootstrap_upper,probability_positive,probability_negative,replicates,bootstrap_unit,interval_estimand
sibling_removal,Qwen/Qwen2.5-7B-Instruct,content_deletion,inflation,0.07064287392102678,0.07060259750537515,0.06532096445470208,0.07591710403604641,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,Qwen/Qwen2.5-7B-Instruct,irrelevant_context,inflation,0.059969834514511655,0.059986430919442765,0.05410194208234895,0.06623714470394439,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,TIGER-Lab/General-Reasoner-Qwen2.5-7B,content_deletion,inflation,0.05894348467971525,0.05893390526164404,0.05496065483516729,0.06300385217906238,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,TIGER-Lab/General-Reasoner-Qwen2.5-7B,irrelevant_context,inflation,0.04623180262363617,0.046198813145153964,0.04194890140957276,0.050513725930214595,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,microsoft/Phi-4-reasoning-plus,content_deletion,inflation,0.008023893234749849,0.008014104342863893,0.005802082834091807,0.01041199566337167,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,microsoft/Phi-4-reasoning-plus,irrelevant_context,inflation,0.003167744534716958,0.003151410659627503,0.001397936481204482,0.00488882288803079,0.999,0.001,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,microsoft/phi-4,content_deletion,inflation,0.007094126416464633,0.007065570816011346,0.00390864514215865,0.010625939144775933,1.0,0.0,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
sibling_removal,microsoft/phi-4,irrelevant_context,inflation,-0.0041142960772114915,-0.004105644334478286,-0.007153211870691952,-0.0011475179133388976,0.003,0.997,1000,base_question,base-question clustered-bootstrap interval for the ten-split bagged estimator
