target,family,split_seed,dose,weight_source,mean_total_variation,mean_jensen_shannon_divergence,top1_semantic_answer_agreement,correctness_agreement,vector_overall_total_variation,vector_endpoint_delta,scalar_endpoint_delta,endpoint_direction_support,fit_selected_single_peer,single_peer_overall_total_variation,vector_convexity_improvement,scalar_convexity_improvement,convexity_direction_support,vector_sibling_removal_inflation,scalar_sibling_removal_inflation,sibling_direction_support,scalar_vector_weight_l1_change,scalar_vector_weight_l2_change
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0,scalar_fitted,0.32366747679383989,0.12778777982467546,0.71785714285714286,0.86428571428571432,0.3515390169156542,0.042498480428153185,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.033494837408948486,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.10000000000000001,scalar_fitted,0.34660742663071847,0.13796162440660018,0.6880952380952382,0.85595238095238102,0.3515390169156542,0.042498480428153185,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.033494837408948486,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.20000000000000001,scalar_fitted,0.35506176412979418,0.14237641175047,0.68571428571428572,0.85238095238095235,0.3515390169156542,0.042498480428153185,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.033494837408948486,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.29999999999999999,scalar_fitted,0.36619245980192544,0.14713088819847289,0.67261904761904756,0.84642857142857142,0.3515390169156542,0.042498480428153185,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.033494837408948486,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.40000000000000002,scalar_fitted,0.36616595722199308,0.1473682898725221,0.68452380952380953,0.8666666666666667,0.3515390169156542,0.042498480428153185,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.033494837408948486,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0,vector_fitted,0.32642465921451724,0.12909051779146394,0.7142857142857143,0.86428571428571432,0.35449647101733406,0.042542803148878816,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.036452291510628343,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.10000000000000001,vector_fitted,0.34978253087697297,0.13956180879926314,0.68333333333333324,0.85238095238095246,0.35449647101733406,0.042542803148878816,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.036452291510628343,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.20000000000000001,vector_fitted,0.35836657149337481,0.14403682061662504,0.68333333333333324,0.85119047619047628,0.35449647101733406,0.042542803148878816,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.036452291510628343,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.29999999999999999,vector_fitted,0.36894113113840937,0.14847327804633612,0.67023809523809519,0.84642857142857142,0.35449647101733406,0.042542803148878816,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.036452291510628343,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
Qwen/Qwen2.5-7B-Instruct,content_deletion,20260828,0.40000000000000002,vector_fitted,0.36896746236339606,0.14870575710429879,0.68333333333333324,0.8654761904761904,0.35449647101733406,0.042542803148878816,0.0094729890211253942,True,TIGER-Lab/General-Reasoner-Qwen2.5-7B,0.31804417950670572,-0.036452291510628343,-0.019446293481282129,True,0.13437242475057265,0.075120550404533748,True,0.07601774617981101,0.032032896747294849
