ContextType,ContextLabel,TargetModel,Dose,MeanPIER,StdPIER,NumEvalPoints,NumFitPoints,ContextRawSize
length,len_long_(>15),BERT,0.0,0.05508893158170695,0.15988868772875708,100,1000,561
length,len_long_(>15),BERT,0.1,0.06775573732099788,0.17062695863450655,100,1000,561
length,len_long_(>15),BERT,0.2,0.09385408732869827,0.1905861470810488,100,1000,561
length,len_long_(>15),BERT,0.30000000000000004,0.1288741230221074,0.14833083177332332,100,1000,561
length,len_long_(>15),BERT,0.4,0.14456119194289255,0.17989027713328273,100,1000,561
length,len_long_(>15),BERT,0.5,0.1437449542642337,0.16724619400119167,100,1000,561
length,len_long_(>15),BERT,0.6000000000000001,0.17678585079006523,0.18362092143628922,100,1000,561
length,len_long_(>15),BERT,0.7000000000000001,0.16759925795718292,0.19606240603280137,100,1000,561
length,len_long_(>15),BERT,0.8,0.17927450089102479,0.13977474502071854,100,1000,561
length,len_long_(>15),BERT,0.9,0.219267464297359,0.126168585174685,100,1000,561
length,len_long_(>15),DistilBERT,0.0,0.41308531837403095,0.23088827774108006,100,1000,561
length,len_long_(>15),DistilBERT,0.1,0.40853890314983815,0.17583399832952892,100,1000,561
length,len_long_(>15),DistilBERT,0.2,0.38132854684017287,0.1721535559579191,100,1000,561
length,len_long_(>15),DistilBERT,0.30000000000000004,0.10434496728381547,0.09798608458116176,100,1000,561
length,len_long_(>15),DistilBERT,0.4,0.09988724446398738,0.06451932691008573,100,1000,561
length,len_long_(>15),DistilBERT,0.5,0.11596085704789263,0.09087273708683054,100,1000,561
length,len_long_(>15),DistilBERT,0.6000000000000001,0.13225881139315412,0.10859909206981687,100,1000,561
length,len_long_(>15),DistilBERT,0.7000000000000001,0.1707103698428966,0.11646906620846022,100,1000,561
length,len_long_(>15),DistilBERT,0.8,0.25985355009386346,0.12785098417487126,100,1000,561
length,len_long_(>15),DistilBERT,0.9,0.3514679527021044,0.10088241717098902,100,1000,561
length,len_long_(>15),RoBERTa,0.0,0.03384678990173279,0.0986191613199295,100,1000,561
length,len_long_(>15),RoBERTa,0.1,0.04190711714623219,0.10856983794117324,100,1000,561
length,len_long_(>15),RoBERTa,0.2,0.07437490229277327,0.14729042582330767,100,1000,561
length,len_long_(>15),RoBERTa,0.30000000000000004,0.09576918265159129,0.1669484934456408,100,1000,561
length,len_long_(>15),RoBERTa,0.4,0.10832606886912208,0.17416883293005117,100,1000,561
length,len_long_(>15),RoBERTa,0.5,0.12116716839125669,0.185260943889247,100,1000,561
