Eval_Point,BERT_Uniqueness_R,BERT_Redundancy_R,DistilBERT_Uniqueness_R,DistilBERT_Redundancy_R,RoBERTa_Uniqueness_R,RoBERTa_Redundancy_R,ALBERT_Uniqueness_R,ALBERT_Redundancy_R,XLNet_Uniqueness_R,XLNet_Redundancy_R
Sample 2 $\theta=0.90$,0.3353370097025905,7.771561172376096e-16,0.330649908622344,8.326672684688674e-17,0.134542449851065,3.3306690738754696e-16,0.06236237559165636,3.3306690738754696e-16,0.2834529905876515,1.887379141862766e-15
Sample 3 $\theta=0.00$,0.0009018191088252386,8.673617379884035e-18,0.1503190541134382,2.220446049250313e-16,0.00047080627320714467,6.310056643865636e-17,0.08241258488873601,8.673617379884035e-18,0.011358588007348864,5.139118297581291e-17
Sample 3 $\theta=0.10$,0.0008963606330473347,1.6479873021779667e-17,0.23214808494408348,3.3306690738754696e-16,0.00011698623856812047,9.237402509576498e-17,0.12909823843674234,1.3877787807814457e-17,0.017125307173522133,7.752045533271357e-17
Sample 3 $\theta=0.20$,0.03804713434857238,2.5153490401663703e-17,0.024129829531048308,1.1102230246251565e-16,0.0019619918689012745,1.214306433183765e-17,0.1350913403482256,1.6653345369377348e-16,0.0495103667019854,2.616179842207522e-16
Sample 3 $\theta=0.30$,0.0617023729116902,5.724587470723463e-17,0.26580992489919864,1.3877787807814457e-16,0.008317133466983512,9.8879238130678e-17,0.34310681066276105,2.7755575615628914e-16,0.057351613434455544,3.165870343657673e-16
Sample 3 $\theta=0.40$,0.15587334374833114,2.498001805406602e-16,0.3788476394513556,2.636779683484747e-16,0.12175873647311955,7.849623728795052e-16,0.3557569827149728,2.7755575615628914e-16,0.05710073997140318,3.95516952522712e-16
Sample 3 $\theta=0.50$,0.08430813419288763,3.3306690738754696e-16,0.2919846451986722,1.6653345369377348e-16,0.29186428838099265,1.7763568394002505e-15,0.08055540043008669,3.885780586188048e-16,0.3195510296908056,1.2212453270876722e-15
Sample 3 $\theta=0.60$,0.06561730537867667,4.85722573273506e-17,0.15828744258842964,5.551115123125783e-17,0.009620810852299329,6.938893903907228e-17,0.2726253813822066,2.7755575615628914e-16,0.053636167001124585,3.0531133177191805e-16
Sample 3 $\theta=0.70$,0.09288990223210347,5.551115123125783e-16,0.3403398628760152,1.3877787807814457e-16,0.021758394432550898,3.3306690738754696e-16,0.03943419742870363,4.440892098500626e-16,0.085907530342057,2.220446049250313e-16
Sample 3 $\theta=0.80$,0.3828201450354777,1.1102230246251565e-16,0.42363088977291036,2.949029909160572e-16,0.22676344000305226,8.881784197001252e-16,0.1947932184411616,3.3306690738754696e-16,0.10186986021605027,1.1102230246251565e-16
Sample 3 $\theta=0.90$,0.21779793772583378,6.661338147750939e-16,0.4090327977761286,1.942890293094024e-16,0.19187237187064954,5.551115123125783e-16,0.08658128358522238,3.885780586188048e-16,0.23839602058241494,1.6653345369377348e-15
Sample 4 $\theta=0.00$,1.730480739159379e-05,5.551115123125783e-16,0.8410031077792111,4.996003610813204e-16,9.631678195254345e-05,6.661338147750939e-16,0.48307924873970887,7.771561172376096e-16,0.04988721841642263,4.440892098500626e-16
Sample 4 $\theta=0.10$,1.730480739159379e-05,5.551115123125783e-16,0.8410031077792111,4.996003610813204e-16,9.631678195254345e-05,6.661338147750939e-16,0.48307924873970887,7.771561172376096e-16,0.04988721841642263,4.440892098500626e-16
Sample 4 $\theta=0.20$,4.536609908922795e-05,5.551115123125783e-16,0.6459484925319968,3.3306690738754696e-16,3.829678447453411e-05,5.551115123125783e-16,0.3710381497274369,7.771561172376096e-16,0.038322628349082954,4.440892098500626e-16
