TargetModel,GlobalDisagreement_D,MAE_SinglePeer,BestPeerName,MAE_OracleRouter,NumSamples
BERT,0.16204056102073283,0.05704621692037759,XLNet,0.020772089673092197,872
DistilBERT,0.4432891540027079,0.41922566339190287,ALBERT,0.39403286747402916,872
RoBERTa,0.15659312070304146,0.03650675171589983,XLNet,0.012394836856167895,872
ALBERT,0.1654200833252767,0.07928501734324628,RoBERTa,0.036869107597899235,872
XLNet,0.15634941462538152,0.03650675171589983,RoBERTa,0.012435119949251044,872
