City,HorizonSteps,MeanFlow_Test,Local_MAE_Ratio,Persist_MAE,Skill_vs_Persist,Local_Train_MAE,Global_Train_MAE,Local_MAE,Global_MAE,Router_MAE,Delta_Global,Delta_Router,PIER,FitDistance,PairwiseMeanAbsDiff,ClosestPeerName,ClosestPeerMeanAbsDiff,WeightEntropy,WeightEntropyNorm,EffectivePeers_HHI,TopPeer1,TopPeer1Weight,TopPeer2,TopPeer2Weight,TopPeer3,TopPeer3Weight,TopKMass3,NumNonZeroWeights,NumTrain,NumVal,NumTest,NumFitSamples,NumEvalSamples,NumPeers,CacheHash,ModelType
augsburg,12,159.48102,0.22086584327845676,46.37768,0.24049866295147948,35.80802070762405,47.67590069580088,35.22390996920843,44.85696007209208,40.2956398158984,9.63305010288365,5.071729846689969,15.422714152477777,1832.916332964744,52.366105354419254,london,16.260650786725886,2.509672789881329,0.7308334715410221,11.130719266963773,bremen,0.16256197545521675,hamburg,0.11082159128537745,stuttgart,0.09715121801308521,0.3705347847536794,29,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
basel,12,134.4803869599788,0.5232878745472325,77.34601113172542,0.09016696748939612,39.876264640666626,55.851808598848166,70.37195586057666,67.47068676549881,69.31479004142165,-2.9012690950778506,-1.057165819155017,17.80386912928574,3422.946121719674,54.81779715555777,constance,20.773703634079283,1.3714785026630638,0.39938369626764175,3.8692738130652593,stuttgart,0.304208369213957,constance,0.2698731717386531,zurich,0.2473674756581037,0.8214490166107138,19,91707,30107,30184,4000,4000,31,abd00d5cef12,histgb
bern,12,145.5375557191948,0.8849598518253752,76.59877447495047,-0.6814223808032955,78.18272527849238,82.34972415096384,128.79489374428593,71.54952703652422,95.7526787071942,-57.245366707761704,-33.04221503709172,83.54550811617948,10175.061308253042,104.63850509851555,taipeh,82.96731239597251,1.4254137407717133,0.41508999768839383,3.2974619946659995,manchester,0.48023512515245015,losangeles,0.184409874348797,toulouse,0.14834591427742075,0.8129909137786678,17,300000,196935,197000,4000,4000,31,abd00d5cef12,histgb
bolton,12,337.94334601596694,0.07741736834584967,26.616683894521543,0.01705694810719634,21.551608385111127,56.270776461584745,26.16268449854704,52.68205239774077,41.30009713092074,26.51936789919373,15.1374126323737,32.57318818956723,3463.0352370232645,429.23597402482096,hamburg,39.362672228305776,2.0487582569392573,0.596612082381485,5.896301893636925,hamburg,0.31175511437422126,manchester,0.1882001541030978,stuttgart,0.1094219560203232,0.6093772244976423,31,138955,45313,45469,4000,4000,31,abd00d5cef12,histgb
bordeaux,12,268.66386498367336,0.2876462106288286,88.74026911032928,0.12914234461732615,70.91705089005843,102.64187589659576,77.28014269544887,77.78199914144062,71.82954942933398,0.5018564459917485,-5.450593266114893,32.840181883375436,3755.475559601519,96.3315584959121,basel,41.86152510168465,1.458225748579333,0.42464507342215424,2.998741450510682,torino,0.5247920394101047,basel,0.19868501841051747,stuttgart,0.11149238072123394,0.834969438541856,20,300000,134103,134443,4000,4000,31,abd00d5cef12,histgb
bremen,12,182.797075,0.2966849910279702,67.8939025,0.20120737563562216,55.535661104619464,60.99825699299608,54.23314855631419,58.27593035763051,54.94789140021858,4.042781801316316,0.7147428439043892,9.177438230269159,1172.6957491608966,51.347239832687215,hamburg,11.794414432017875,2.166924196984436,0.6310227930244489,7.812043268540088,strasbourg,0.16615247667836125,augsburg,0.1603878972121782,speyer,0.15527380585288653,0.481814179743426,26,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
cagliari,12,283.5492,0.30537699515897565,105.8724,0.18213431757727772,82.76790407879365,106.17476976755201,86.58940267573142,106.49452950423891,93.01104704915548,19.90512682850749,6.4216443734240585,33.48332459135093,7147.4566138697155,116.33471127461313,marseille,36.17627854432304,1.060004360190283,0.30868034650968024,1.9251462393182242,marseille,0.7034347769473481,hamburg,0.1322718912174385,constance,0.06821622586831701,0.9039228940331037,15,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
constance,12,113.18458514553363,0.33072815011316403,43.7602793576447,0.14458204984084885,35.08664912845318,45.24876074258307,37.43332846650824,39.76219683677111,37.29911551960497,2.3288683702628674,-0.13421294690327557,12.232649263307426,1418.5278557214278,45.09597699126985,stuttgart,13.30544450931799,1.7014340765192622,0.4954689622305556,4.7619925212692245,graz,0.3253803156630786,speyer,0.19703779819448755,stuttgart,0.1787365930493777,0.7011547069069439,17,145302,47702,47824,4000,4000,31,abd00d5cef12,histgb
darmstadt,12,131.1659,0.3092091426666796,51.0727,0.20588307479135765,42.47132278259258,55.41516421375702,40.55769548610343,51.48223017507835,45.29028970143519,10.924534688974923,4.7325942153317655,18.8147030261669,2004.4379820785268,60.524782153306404,hamburg,21.046337273113856,1.5467716631594786,0.4504302348998951,4.0681656829012365,speyer,0.3386442633261989,hamburg,0.29888235294086934,bremen,0.15292065599598573,0.790447272263054,25,300000,200000,200000,4000,4000,31,abd00d5cef12,histgb
essen,12,229.98415652781378,0.18264648812197773,71.01380275972662,0.4084840287228956,40.02328993220772,58.11689176751399,42.00579851350041,58.50663685465363,47.553893824889386,16.50083834115322,5.548095311388977,19.577592991259195,1728.671543024095,68.14080854459841,augsburg,24.45453683409133,1.547660894371893,0.45068918496565336,3.2712730421840397,augsburg,0.502648214012453,toronto,0.15590067254496107,graz,0.1344349039930751,0.7929837905504892,20,174265,57880,57891,4000,4000,31,abd00d5cef12,histgb
