City,PeerName,Weight,Rank,HorizonSteps,CacheHash,ModelType
bern,taipeh,5.0394602663249645e-06,15,12,abd00d5cef12,histgb
bern,zurich,3.530764783328215e-06,16,12,abd00d5cef12,histgb
bern,madrid,7.339324198256365e-07,17,12,abd00d5cef12,histgb
bern,bremen,-5.5386047283327145e-06,18,12,abd00d5cef12,histgb
bern,GLOBAL,-7.341463174342787e-06,19,12,abd00d5cef12,histgb
bern,london,-1.7351502791652517e-05,20,12,abd00d5cef12,histgb
bern,augsburg,-3.068369041690696e-05,21,12,abd00d5cef12,histgb
bern,darmstadt,-3.080178866088222e-05,22,12,abd00d5cef12,histgb
bern,essen,-3.439699689682197e-05,23,12,abd00d5cef12,histgb
bern,strasbourg,-3.49128617334255e-05,24,12,abd00d5cef12,histgb
bern,hamburg,-4.471085037588906e-05,25,12,abd00d5cef12,histgb
bern,constance,-4.5443419820667534e-05,26,12,abd00d5cef12,histgb
bern,wolfsburg,-4.619856743063073e-05,27,12,abd00d5cef12,histgb
bern,stuttgart,-6.014016368144355e-05,28,12,abd00d5cef12,histgb
bern,toronto,-6.423368220978014e-05,29,12,abd00d5cef12,histgb
bern,speyer,-9.386002207617761e-05,30,12,abd00d5cef12,histgb
bern,graz,-0.00010573104069613015,31,12,abd00d5cef12,histgb
bolton,hamburg,0.31175511437422126,1,12,abd00d5cef12,histgb
bolton,manchester,0.1882001541030978,2,12,abd00d5cef12,histgb
bolton,stuttgart,0.1094219560203232,3,12,abd00d5cef12,histgb
bolton,cagliari,0.0923382014986979,4,12,abd00d5cef12,histgb
bolton,bremen,0.0831735090951098,5,12,abd00d5cef12,histgb
bolton,toronto,0.06139268871256113,6,12,abd00d5cef12,histgb
bolton,darmstadt,0.059385412640630506,7,12,abd00d5cef12,histgb
bolton,GLOBAL,0.02962502492603473,8,12,abd00d5cef12,histgb
bolton,rotterdam,0.02691212042983086,9,12,abd00d5cef12,histgb
bolton,santander,0.024006339005335414,10,12,abd00d5cef12,histgb
bolton,bern,0.009338450909219675,11,12,abd00d5cef12,histgb
bolton,madrid,0.002703165030450675,12,12,abd00d5cef12,histgb
bolton,losangeles,0.0009928979554943353,13,12,abd00d5cef12,histgb
bolton,luzern,0.0007362046551388124,14,12,abd00d5cef12,histgb
bolton,torino,1.8872617401403428e-06,15,12,abd00d5cef12,histgb
bolton,wolfsburg,1.787802919711656e-06,16,12,abd00d5cef12,histgb
bolton,essen,1.7247112016615211e-06,17,12,abd00d5cef12,histgb
bolton,toulouse,1.684876118600742e-06,18,12,abd00d5cef12,histgb
bolton,constance,1.5042572316795524e-06,19,12,abd00d5cef12,histgb
bolton,graz,1.5010723000694834e-06,20,12,abd00d5cef12,histgb
bolton,bordeaux,1.3738910878336291e-06,21,12,abd00d5cef12,histgb
bolton,kassel,1.2139573446064034e-06,22,12,abd00d5cef12,histgb
bolton,taipeh,1.096504419771952e-06,23,12,abd00d5cef12,histgb
bolton,basel,9.721088903305144e-07,24,12,abd00d5cef12,histgb
bolton,speyer,7.527974507419603e-07,25,12,abd00d5cef12,histgb
bolton,augsburg,7.445564823306844e-07,26,12,abd00d5cef12,histgb
bolton,paris,6.561721091426154e-07,27,12,abd00d5cef12,histgb
bolton,strasbourg,6.283889366332231e-07,28,12,abd00d5cef12,histgb
bolton,zurich,5.445630725600111e-07,29,12,abd00d5cef12,histgb
bolton,london,3.582998626489368e-07,30,12,abd00d5cef12,histgb
bolton,marseille,3.3136846135871624e-07,31,12,abd00d5cef12,histgb
bordeaux,torino,0.5247920394101047,1,12,abd00d5cef12,histgb
bordeaux,basel,0.19868501841051747,2,12,abd00d5cef12,histgb
bordeaux,stuttgart,0.11149238072123394,3,12,abd00d5cef12,histgb
bordeaux,toulouse,0.04635210014152206,4,12,abd00d5cef12,histgb
bordeaux,constance,0.043194959258378796,5,12,abd00d5cef12,histgb
bordeaux,kassel,0.03507913951727467,6,12,abd00d5cef12,histgb
bordeaux,paris,0.02811087101751329,7,12,abd00d5cef12,histgb
bordeaux,losangeles,0.01112604378526868,8,12,abd00d5cef12,histgb
bordeaux,luzern,0.0011712589782480157,9,12,abd00d5cef12,histgb
bordeaux,strasbourg,4.406484956713367e-06,10,12,abd00d5cef12,histgb
bordeaux,bremen,4.068261786812183e-06,11,12,abd00d5cef12,histgb
